country_code,year,medal_count
GBR,1896,9
GBR,1900,108
GBR,1904,2
GBR,1906,39
GBR,1908,368
GBR,1912,170
GBR,1920,111
GBR,1924,64
GBR,1928,58
GBR,1932,35
GBR,1936,36
GBR,1948,61
GBR,1952,31
GBR,1956,46
GBR,1960,28
GBR,1964,28
GBR,1968,19
GBR,1972,29
GBR,1976,32
GBR,1980,47
GBR,1984,71
GBR,1988,54
GBR,1992,50
GBR,1996,26
GBR,2000,54
GBR,2004,57
GBR,2008,81
GBR,2012,126
GBR,2016,145
