country_code,year,death_rate
AFG,1990,299.4773088832807
AFG,1991,291.2779667340464
AFG,1992,278.96305561506625
AFG,1993,278.79081474634074
AFG,1994,287.16292317725527
AFG,1995,288.01422374242964
AFG,1996,286.6425885327999
AFG,1997,286.4474545749148
AFG,1998,286.26520191157164
AFG,1999,286.63601834773357
AFG,2000,283.7862707748104
AFG,2001,281.8835208639397
AFG,2002,273.3370933371887
AFG,2003,271.30290712037174
AFG,2004,269.1035305772173
AFG,2005,260.5358497732062
AFG,2006,255.17561742039652
AFG,2007,246.5212697782004
AFG,2008,237.5095918951293
AFG,2009,228.75719068010864
AFG,2010,221.52557181811858
AFG,2011,214.3326939538829
AFG,2012,207.38870222109674
AFG,2013,200.905640138546
AFG,2014,195.43695820699548
AFG,2015,191.8011189732795
AFG,2016,186.6689494361705
AFG,2017,183.9413870541869
ALB,1990,82.82894666410779
ALB,1991,85.18566537596217
ALB,1992,82.29695911825348
ALB,1993,78.38163032043933
ALB,1994,73.23275142160644
ALB,1995,72.0013644258036
ALB,1996,72.99011538933435
ALB,1997,71.82323514901796
ALB,1998,68.42003027568981
ALB,1999,66.56719156242458
ALB,2000,65.21774697596845
ALB,2001,61.847847653851005
ALB,2002,60.81615674760533
ALB,2003,60.30528396310808
ALB,2004,58.93952873927113
ALB,2005,56.540008408326734
ALB,2006,53.733090169387204
ALB,2007,49.71344604056725
ALB,2008,48.40928803115032
ALB,2009,46.58618306562805
ALB,2010,45.393399516950055
ALB,2011,45.47340685542633
ALB,2012,43.89107261791121
ALB,2013,43.24117275694133
ALB,2014,42.522621715025295
ALB,2015,42.299772755674304
ALB,2016,41.018787963433525
ALB,2017,40.48112424828898
DZA,1990,66.75923111219883
DZA,1991,65.58836955746581
DZA,1992,64.41621307164333
DZA,1993,63.32273155211496
DZA,1994,61.65230984608971
DZA,1995,60.41641032360751
DZA,1996,60.01309875496955
DZA,1997,59.341128487207655
DZA,1998,58.24892570217094
DZA,1999,57.803369630507405
DZA,2000,56.61172081651147
DZA,2001,56.066858195937485
DZA,2002,55.16529551874712
DZA,2003,54.59846519870659
DZA,2004,53.24499903767868
DZA,2005,51.67626122835167
DZA,2006,51.00641449802978
DZA,2007,50.077379579330405
DZA,2008,48.91449341516398
DZA,2009,47.70929773746234
DZA,2010,46.567033361409905
DZA,2011,46.220693032785874
DZA,2012,45.25917541810226
DZA,2013,45.00178358326643
DZA,2014,44.781955990100684
DZA,2015,44.362523963093636
DZA,2016,44.53909370257646
DZA,2017,43.68351172616028
ASM,1990,74.02356513098538
ASM,1991,73.95155446889339
ASM,1992,73.89155312019626
ASM,1993,73.18821518005201
ASM,1994,72.90169810234188
ASM,1995,72.4402677155759
ASM,1996,72.49359463037106
ASM,1997,73.37053116192551
ASM,1998,73.97106223138513
ASM,1999,74.78945461502431
ASM,2000,75.10827220266746
ASM,2001,74.83177729487122
ASM,2002,74.5910796082754
ASM,2003,74.46649939630699
ASM,2004,74.22403764805898
ASM,2005,73.50843895056707
ASM,2006,72.37379471767994
ASM,2007,71.72713803000043
ASM,2008,70.73704502765557
ASM,2009,70.09403436674985
ASM,2010,68.60827551361612
ASM,2011,68.06073932247875
ASM,2012,65.3368722838597
ASM,2013,63.716346651421674
ASM,2014,61.369243227387315
ASM,2015,60.795990839241405
ASM,2016,59.261059419992336
ASM,2017,58.93948536624944
,1990,79.7630451625245
,1991,76.38198767344568
,1992,77.0688757194451
,1993,75.67392879222773
,1994,72.43515018415528
,1995,70.49918084153443
,1996,67.32598416280692
,1997,64.48889176063882
,1998,62.30727632640359
,1999,58.29741464482293
,2000,55.64458060790623
,2001,52.69666363295713
,2002,52.3772010223668
,2003,52.559936146835796
,2004,51.53478164516001
,2005,49.99945473036651
,2006,47.947969802975244
,2007,46.65276471153317
,2008,46.139718486938676
,2009,46.451174816766795
,2010,45.502949794887506
,2011,43.72550862147006
,2012,41.87222390997033
,2013,39.59454362607796
,2014,36.71909802616181
,2015,34.601461429526005
,2016,33.50749881289078
,2017,32.77592701400283
AND,1990,29.02388062025666
AND,1991,28.6956788863825
AND,1992,28.46032113173117
AND,1993,27.840871761218946
AND,1994,27.223059973099485
AND,1995,26.225273650073625
AND,1996,25.233599635164307
AND,1997,23.977515037258293
AND,1998,22.80419545130776
