country_code,year,medal_count
GER,1896,32
GER,1900,45
GER,1904,16
GER,1906,30
GER,1908,21
GER,1912,53
GER,1928,77
GER,1932,43
GER,1936,224
GER,1952,40
GER,1956,52
GER,1960,89
GER,1964,116
GER,1992,198
GER,1996,124
GER,2000,118
GER,2004,149
GER,2008,99
GER,2012,94
GER,2016,159
