country_code,year,medal_count
URS,1952,117
URS,1956,169
URS,1960,169
URS,1964,174
URS,1968,192
URS,1972,214
URS,1976,286
URS,1980,442
URS,1988,300
RUS,1908,3
RUS,1912,14
RUS,1996,115
RUS,2000,187
RUS,2004,189
RUS,2008,142
RUS,2012,140
RUS,2016,115
