country_code,year,medal_count
USA,1896,20
USA,1900,63
USA,1904,394
USA,1906,24
USA,1908,65
USA,1912,107
USA,1920,194
USA,1924,182
USA,1928,88
USA,1932,189
USA,1936,96
USA,1948,152
USA,1952,134
USA,1956,123
USA,1960,125
USA,1964,169
USA,1968,166
USA,1972,171
USA,1976,164
USA,1984,352
USA,1988,207
USA,1992,224
USA,1996,259
USA,2000,242
USA,2004,263
USA,2008,317
USA,2012,248
USA,2016,264
