country_code,year,medal_count,GDP
JPN,1992,47,3897826229662.86
JPN,1996,43,4833712542207.1
JPN,2000,43,4887519660744.86
JPN,2004,94,4815148854362.11
JPN,2008,51,5037908465114.48
KAZ,1996,11,21035357832.8019
KAZ,2000,7,18291990619.137
KAZ,2004,8,43151647002.6096
KAZ,2008,13,133441612246.798
KEN,1984,3,6191437070.43467
KEN,1988,9,8355380879.12955
KEN,1992,8,8209129171.73649
KEN,1996,8,12045858436.2399
KEN,2000,7,12705357103.0056
KEN,2004,7,16095337093.8366
KEN,2008,14,35895153327.8497
KGZ,2000,1,1369693171.43504
KGZ,2008,2,5139957784.91084
KOR,1976,17,29779338842.9752
KOR,1984,42,96597434179.5082
KOR,1988,77,196964195387.371
KOR,1992,49,350051111253.443
KOR,1996,66,598099073901.423
KOR,2000,73,561633125839.994
KOR,2004,52,764880644710.649
KOR,2008,78,1002219052967.54
LTU,1996,12,8385109020.28485
LTU,2000,17,11539211480.3625
LTU,2004,3,22649930576.2543
LTU,2008,5,47850551148.8365
MAR,1984,2,14824728528.4604
MAR,1988,3,25705296183.5037
MAR,1992,3,33711069430.78
MAR,1996,2,43161452678.4383
MAR,2000,5,38857251336.3448
MAR,2004,3,59626020162.3816
MAR,2008,2,92507257783.5697
MDA,1996,3,1695130456.52174
MDA,2000,2,1288429150.51394
MDA,2008,1,6054806100.84681
MEX,1976,2,89023915584.4156
MEX,1980,12,194356826086.957
MEX,1984,6,175632157330.155
MEX,1988,2,183144268180.018
MEX,1992,1,363609256195.677
MEX,1996,1,397404140458.457
MEX,2000,6,683647965226.955
MEX,2004,4,770267585947.191
MEX,2008,4,1101275278668.79
MKD,2000,1,3772851420.24763
MOZ,1996,1,3523842274.89662
MOZ,2000,1,5016469068.50898
NAM,1992,2,3448326858.34502
NAM,1996,2,3945340776.40546
NOR,1976,6,35942270686.3374
NOR,1984,4,62057955032.7758
NOR,1988,23,101900260856.222
NOR,1992,23,130838040067.584
NOR,1996,25,163517783497.163
NOR,2000,44,171315639982.731
NOR,2004,7,264357494659.388
NOR,2008,22,462554432624.114
NZL,1976,27,13604832424.0062
NZL,1984,23,21665456808.0473
NZL,1988,24,45176167471.8196
NZL,1992,15,41649298170.9911
NZL,1996,9,70140835299.0148
NZL,2000,4,52623281956.7031
NZL,2004,6,103905882352.941
NZL,2008,14,133279679482.674
PAK,1976,16,13338484979.798
PAK,1984,16,31151824658.6524
PAK,1988,1,38472741737.3968
PAK,1992,16,48635176852.7673
PAN,2008,1,24522200000
PER,1984,1,17599660054.286
PER,1988,12,15439408447.2288
PER,1992,1,36139225287.9079
POL,1992,42,94337050693.2727
POL,1996,21,159942880456.956
POL,2000,24,171885598582.637
POL,2004,12,255102252843.395
POL,2008,20,533815789473.684
QAT,1992,1,7646153983.51648
QAT,2000,1,17759890109.8901
ROU,1988,51,40809523809.5238
ROU,1992,53,25121666666.6667
ROU,1996,38,37182938696.0752
ROU,2000,46,37438527799.5302
ROU,2004,39,76216441462.1442
ROU,2008,22,208181626900.631
RUS,1996,115,391719993756.828
RUS,2000,188,259708496267.33
RUS,2004,192,591016690742.798
RUS,2008,143,1660844408499.61
SEN,1988,1,4985153202.5374
SRB,2008,15,49259526052.7426
SUR,1988,1,1160900000
SUR,1992,1,404600000
SVK,1996,3,27821913814.9556
SVK,2000,6,29114875621.8905
SVK,2004,10,57240535137.8197
SVK,2008,10,100324627215.468
SWE,1976,10,88102107647.0993
SWE,1980,18,140088635568.375
SWE,1984,32,107661673734.858
SWE,1988,16,204068257817.6
SWE,1992,35,280312318915.485
SWE,1996,31,288103936773.039
SWE,2000,32,259802012617.057
SWE,2004,12,381705425301.746
SWE,2008,7,513965650650.119
SYR,1984,1,17503082982.2832
SYR,1996,1,13789560878.2435
SYR,2004,1,25086930693.0693
THA,1976,1,16985211146.0238
THA,1984,1,41797592963.4424
THA,1988,1,61667199834.7428
THA,1992,1,111452869378.467
THA,1996,2,183035154107.494
THA,2000,3,126392308497.749
THA,2004,8,172895476152.592
THA,2008,4,291383081231.82
TJK,2008,2,5161336170.46084
TUN,1996,1,19587322786.1105
TUN,2008,1,44856586316.0458
TUR,1984,3,59989909457.8379
TUR,1988,2,90852814004.9917
TUR,1992,6,158459130434.783
TUR,1996,6,181475555282.555
TUR,2000,5,272979390595.01
TUR,2004,10,404786740091.196
TUR,2008,8,764335657318.479
UGA,1980,1,1244610000
UGA,1996,1,6044585326.938
UKR,1996,34,44558077827.135
UKR,2000,35,31261527363.144
UKR,2004,48,64883060725.7003
UKR,2008,31,179992405832.321
USA,1976,155,1877587000000
USA,1984,333,4040693000000
USA,1988,193,5252629000000
USA,1992,224,6539299000000
USA,1996,260,8100201000000
USA,2000,248,10284779000000
USA,2004,264,12274928000000
USA,2008,315,14718582000000
UZB,1996,2,13948892215.5689
UZB,2000,4,13760374487.51
UZB,2004,5,12030023547.8807
UZB,2008,6,29549438883.8338
VEN,1976,1,36187023255.814
VEN,1980,1,67018023255.814
VEN,1984,3,56091900000
VEN,2004,2,112453382329.615
VEN,2008,1,315953388510.678
