country_code,year,medal_count,death_rate,athlete_count,ratio
AFG,2008,1,237.5095918951293,4,0.25
AFG,2012,1,207.38870222109674,6,0.16666666666666666
ARG,1992,2,45.70004430232637,157,0.012738853503184714
ARG,1996,20,43.19155251966903,221,0.09049773755656108
ARG,2000,20,42.73940102751991,165,0.12121212121212122
ARG,2004,49,41.1329308765786,179,0.2737430167597765
ARG,2008,51,38.336821050402975,145,0.35172413793103446
ARG,2012,19,36.006210287911955,148,0.12837837837837837
ARG,2016,22,31.838073425521078,232,0.09482758620689655
ARM,1996,2,106.76469709853134,38,0.05263157894736842
ARM,2000,1,93.84658134365908,26,0.038461538461538464
ARM,2008,6,81.78156822279996,26,0.23076923076923078
ARM,2012,3,72.48638652217669,31,0.0967741935483871
ARM,2016,4,64.86230501424498,34,0.11764705882352941
AUS,1992,57,25.70745496366259,431,0.13225058004640372
AUS,1996,132,23.04465163005374,550,0.24
AUS,2000,183,19.39821909636532,788,0.23223350253807107
AUS,2004,157,16.34769749023735,601,0.2612312811980033
AUS,2008,149,14.646833010905398,570,0.2614035087719298
AUS,2012,114,12.659725312034098,514,0.22178988326848248
AUS,2016,82,10.586439853479725,518,0.1583011583011583
AUT,1992,6,34.7505220834778,248,0.024193548387096774
AUT,1996,3,32.553410382125755,92,0.03260869565217391
AUT,2000,4,29.14994519549931,114,0.03508771929824561
AUT,2004,8,26.059428326258526,92,0.08695652173913043
AUT,2008,3,22.77524311531383,93,0.03225806451612903
AUT,2016,2,17.812976640233504,85,0.023529411764705882
AZE,1996,1,126.7403623497629,24,0.041666666666666664
AZE,2000,3,111.7348178618593,32,0.09375
AZE,2004,5,109.27693809169088,37,0.13513513513513514
AZE,2008,7,97.72392920774243,44,0.1590909090909091
AZE,2012,10,89.90256184417429,59,0.1694915254237288
AZE,2016,18,80.7165557943871,69,0.2608695652173913
BDI,1996,1,233.2424051317994,7,0.14285714285714285
BDI,2016,1,144.35628994473123,10,0.1
BEL,1992,3,37.95673593766118,110,0.02727272727272727
BEL,1996,6,34.75089994035246,81,0.07407407407407407
BEL,2000,7,32.37665767377515,94,0.07446808510638298
BEL,2004,3,28.770306153529884,70,0.04285714285714286
BEL,2008,5,26.06965397635318,112,0.044642857142857144
BEL,2012,3,23.06005561514013,142,0.02112676056338028
BEL,2016,21,19.272908553596018,138,0.15217391304347827
BLR,1996,23,79.7972639586836,259,0.0888030888030888
BLR,2000,22,77.95938517050145,231,0.09523809523809523
BLR,2004,15,78.84639850384417,192,0.078125
BLR,2008,29,70.04607007920916,237,0.12236286919831224
